Designator,Footprint,Quantity,Value,LCSC Part #
"CP1, CP2, CP3, CP4, CP5",C_Disc_D3.0mm_W1.6mm_P2.50mm,5,0.1u,
IC1,DIP-28_W15.24mm,1,HM62256BLP,
IC2,DIP-14_W7.62mm,1,74HC30,
IC3,DIP-16_W7.62mm,1,74HC138,
IC4,DIP-14_W7.62mm,1,74HC32,
IC5,DIP-20_W7.62mm,1,74HC541,
"J1, J4",PinHeader_2x20_P2.54mm_Vertical,2,Expantion_Connector,
"J2, J6, J7",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
"J3, J5",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
JP1,PinHeader_2x17_P2.54mm_Vertical,1,Conn_02x17_Counter_Clockwise,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Bridged,
RN1,R_Array_SIP9,1,10k,
SW1,SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,1,SW_DIP_x08,
TP1,PinHeader_1x01_P2.54mm_Vertical,1,~{IRQ},
